source_file,source_module,line,import_type,imported_module,imported_name,alias,level,resolved_file,resolution_status
core/sig_hash_builder.py,core.sig_hash_builder,9,from_import,core.record_v2,STATUS_OK,,0,core/record_v2.py,resolved
core/sig_hash_builder.py,core.sig_hash_builder,9,from_import,core.record_v2,serialize_identity_items,,0,core/record_v2.py,resolved
core/sig_hash_policy.py,core.sig_hash_policy,9,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/sig_hash_policy.py,core.sig_hash_policy,11,import,json,,,0,,unresolved_external_or_missing
core/sig_hash_policy.py,core.sig_hash_policy,12,from_import,typing,Any,,0,,unresolved_external_or_missing
core/sig_hash_policy.py,core.sig_hash_policy,12,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/sig_hash_policy.py,core.sig_hash_policy,12,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,14,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,16,import,threading,,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,17,import,time,,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,18,from_import,typing,Any,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,18,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,18,from_import,typing,List,,0,,unresolved_external_or_missing
core/timing_collector.py,core.timing_collector,18,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/vg_sig.py,core.vg_sig,11,import,os,,,0,,unresolved_external_or_missing
core/vg_sig.py,core.vg_sig,12,import,sys,,,0,,unresolved_external_or_missing
core/vg_sig.py,core.vg_sig,19,from_import,core.hashing,make_hash,,0,core/hashing.py,resolved
core/vg_sig.py,core.vg_sig,19,from_import,core.hashing,safe_str,,0,core/hashing.py,resolved
core/vg_sig.py,core.vg_sig,20,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/vg_sig.py,core.vg_sig,20,from_import,core.record_v2,ITEM_Q_UNREADABLE,,0,core/record_v2.py,resolved
core/vg_sig.py,core.vg_sig,20,from_import,core.record_v2,canonicalize_int,,0,core/record_v2.py,resolved
