archetype_id,governance_question,approach_label,signal_ids,cluster_ids
CANDIDATE__unknown__vfd_roof_types_all_model_family_name_1002002__vfd_roof_types_fire_label_84aff3c6,view_filter_strategy,Roof Type/Fire Label View Filter Bundle,vfd__roof_types.all_model_family_name__1002002 | vfd__roof_types.fire_label__84aff3c6,view_filter_strategy__cluster_004
CANDIDATE__view_filter_strategy__vfd_roof_types_all_model_family_name_1002002__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Roof Type/Fire Label View Filter Bundle + View Template Filter Stack Bundle,vfd__roof_types.all_model_family_name__1002002 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_004 | view_filter_strategy__cluster_007
CANDIDATE__unknown__vfd_roof_types_all_model_type_name_1002001__vfd_roof_types_fire_label_84aff3c6,view_filter_strategy,Roof Type/Fire Label View Filter Bundle,vfd__roof_types.all_model_type_name__1002001 | vfd__roof_types.fire_label__84aff3c6,view_filter_strategy__cluster_004
CANDIDATE__view_filter_strategy__vfd_roof_types_all_model_type_name_1002001__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Roof Type/Fire Label View Filter Bundle + View Template Filter Stack Bundle,vfd__roof_types.all_model_type_name__1002001 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_004 | view_filter_strategy__cluster_007
CANDIDATE__view_filter_strategy__vfd_roof_types_door_fire_rating_1001206__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,View Template Filter Stack Bundle,vfd__roof_types.door_fire_rating__1001206 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_007
CANDIDATE__view_filter_strategy__vfd_roof_types_fire_label_84aff3c6__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Roof Type/Fire Label View Filter Bundle + View Template Filter Stack Bundle,vfd__roof_types.fire_label__84aff3c6 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_004 | view_filter_strategy__cluster_007
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_all_model_type_comments_1010105,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.all_model_type_comments__1010105,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_all_model_type_name_1002001,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.all_model_type_name__1002001,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_fire_rating_in_hours_74ac43d8,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.fire_rating_in_hours__74ac43d8,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_partition_code_type_e65ae52c,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.partition_code_type__e65ae52c,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
